source_id	url	citation_text
S11	https://openaccess.thecvf.com/content/WACV2021/html/Tripathy_FACEGAN_Facial_Attribute_Controllable_rEenactment_GAN_WACV_2021_paper.html	Tripathy, S., Kannala, J., & Rahtu, E. (2021). FACEGAN: Facial Attribute Controllable rEenactment GAN. In *IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)*. https://openaccess.thecvf.com/content/WACV2021/html/Tripathy_FACEGAN_Facial_Attribute_Controllable_rEenactment_GAN_WACV_2021_paper.html · https://arxiv.org/abs/2011.04439
S11	https://arxiv.org/abs/2011.04439	Tripathy, S., Kannala, J., & Rahtu, E. (2021). FACEGAN: Facial Attribute Controllable rEenactment GAN. In *IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)*. https://openaccess.thecvf.com/content/WACV2021/html/Tripathy_FACEGAN_Facial_Attribute_Controllable_rEenactment_GAN_WACV_2021_paper.html · https://arxiv.org/abs/2011.04439
S12	https://openaccess.thecvf.com/content/CVPR2022/html/Danecek_EMOCA_Emotion_Driven_Monocular_Face_Capture_and_Animation_CVPR_2022_paper.html	Daněček, R., Black, M. J., & Bolkart, T. (2022). EMOCA: Emotion Driven Monocular Face Capture and Animation. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*, 20311–20322. https://openaccess.thecvf.com/content/CVPR2022/html/Danecek_EMOCA_Emotion_Driven_Monocular_Face_Capture_and_Animation_CVPR_2022_paper.html · https://arxiv.org/abs/2204.11312
S12	https://arxiv.org/abs/2204.11312	Daněček, R., Black, M. J., & Bolkart, T. (2022). EMOCA: Emotion Driven Monocular Face Capture and Animation. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*, 20311–20322. https://openaccess.thecvf.com/content/CVPR2022/html/Danecek_EMOCA_Emotion_Driven_Monocular_Face_Capture_and_Animation_CVPR_2022_paper.html · https://arxiv.org/abs/2204.11312
S13	https://openaccess.thecvf.com/content/WACV2024/html/Azari_EmoStyle_One-Shot_Facial_Expression_Editing_Using_Continuous_Emotion_Parameters_WACV_2024_paper.html	Azari, B., & Lim, A. (2024). EmoStyle: One-Shot Facial Expression Editing Using Continuous Emotion Parameters. In *IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)*, 6385–6394. https://openaccess.thecvf.com/content/WACV2024/html/Azari_EmoStyle_One-Shot_Facial_Expression_Editing_Using_Continuous_Emotion_Parameters_WACV_2024_paper.html
S14	https://arxiv.org/abs/2407.20175	Varanka, T., Khor, H.-Q., Li, Y., Wei, M., Kung, H., Sebe, N., & Zhao, G. (2024). Towards Localized Fine-Grained Control for Facial Expression Generation. *arXiv preprint arXiv:2407.20175*. https://arxiv.org/abs/2407.20175
S15	https://arxiv.org/abs/2501.02260	Wei, M., Varanka, T., Jiang, X., Khor, H.-Q., & Zhao, G. (2025). MagicFace: High-Fidelity Facial Expression Editing with Action-Unit Control. *arXiv preprint arXiv:2501.02260*. https://arxiv.org/abs/2501.02260
S16	https://doi.org/10.1007/s10919-012-0130-0	Dael, N., Mortillaro, M., & Scherer, K. R. (2012). The Body Action and Posture Coding System (BAP): Development and reliability. *Journal of Nonverbal Behavior, 36*(2), 97–121. https://doi.org/10.1007/s10919-012-0130-0
S17	https://doi.org/10.1037/a0025737	Dael, N., Mortillaro, M., & Scherer, K. R. (2012). Emotion expression in body action and posture. *Emotion, 12*(5), 1085–1101. https://doi.org/10.1037/a0025737
S18	https://doi.org/10.3389/fnbeh.2014.00330	Huis in ’t Veld, E. M. J., van Boxtel, G. J. M., & de Gelder, B. (2014). The Body Action Coding System II: Muscle activations during the perception and expression of emotion. *Frontiers in Behavioral Neuroscience, 8*, 330. https://doi.org/10.3389/fnbeh.2014.00330
S21	https://doi.org/10.1371/journal.pone.0218179	Bernardet, U., Fdili Alaoui, S., Studd, K., Bradley, K., Pasquier, P., & Schiphorst, T. (2019). Assessing the reliability of the Laban Movement Analysis system. *PLOS ONE, 14*(6), e0218179. https://doi.org/10.1371/journal.pone.0218179
S22	https://doi.org/10.1145/3072959.3073663	Holden, D., Komura, T., & Saito, J. (2017). Phase-Functioned Neural Networks for Character Control. *ACM Transactions on Graphics, 36*(4), Article 42. https://doi.org/10.1145/3072959.3073663
S23	https://doi.org/10.1145/3386569.3392450	Starke, S., Zhao, Y., Komura, T., & Zaman, K. (2020). Local Motion Phases for Learning Multi-Contact Character Movements. *ACM Transactions on Graphics, 39*(4), Article 54. https://doi.org/10.1145/3386569.3392450
S24	https://doi.org/10.1145/3197517.3201311	Peng, X. B., Abbeel, P., Levine, S., & van de Panne, M. (2018). DeepMimic: Example-Guided Deep Reinforcement Learning of Physics-Based Character Skills. *ACM Transactions on Graphics, 37*(4), Article 143. https://doi.org/10.1145/3197517.3201311
S25	https://doi.org/10.1145/3130800.3130813	Li, T., Bolkart, T., Black, M. J., Li, H., & Romero, J. (2017). Learning a model of facial shape and expression from 4D scans. *ACM Transactions on Graphics, 36*(6), Article 194. https://doi.org/10.1145/3130800.3130813
S26	https://openaccess.thecvf.com/content_CVPR_2019/html/Pavlakos_Expressive_Body_Capture_3D_Hands_Face_and_Body_From_a_Single_CVPR_2019_paper.html	Pavlakos, G., Choutas, V., Ghorbani, N., Bolkart, T., Osman, A. A. A., Tzionas, D., & Black, M. J. (2019). Expressive Body Capture: 3D Hands, Face, and Body from a Single Image. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*, 10975–10985. https://openaccess.thecvf.com/content_CVPR_2019/html/Pavlakos_Expressive_Body_Capture_3D_Hands_Face_and_Body_From_a_Single_CVPR_2019_paper.html
S27	https://arxiv.org/abs/1904.03278	Mahmood, N., Ghorbani, N., Troje, N. F., Pons-Moll, G., & Black, M. J. (2019). AMASS: Archive of Motion Capture as Surface Shapes. In *IEEE/CVF International Conference on Computer Vision (ICCV)*, 5442–5451. https://arxiv.org/abs/1904.03278
S28	https://arxiv.org/abs/1812.07035	Zhou, Y., Barnes, C., Lu, J., Yang, J., & Li, H. (2019). On the Continuity of Rotation Representations in Neural Networks. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*. https://arxiv.org/abs/1812.07035
S29	https://openaccess.thecvf.com/content/CVPR2022/html/Guo_Generating_Diverse_and_Natural_3D_Human_Motions_From_Text_CVPR_2022_paper.html	Guo, C., Zou, S., Zuo, X., Wang, S., Ji, W., Li, X., & Cheng, L. (2022). Generating Diverse and Natural 3D Human Motions from Text. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*, 5152–5161. https://openaccess.thecvf.com/content/CVPR2022/html/Guo_Generating_Diverse_and_Natural_3D_Human_Motions_From_Text_CVPR_2022_paper.html
S30	https://proceedings.neurips.cc/paper_files/paper/2024/hash/be41269a9fe258f1ecba663b0b402322-Abstract-Conference.html	Wang, Z., Wang, J., Li, Y., Lin, D., & Dai, B. (2024). InterControl: Zero-shot Human Interaction Generation by Controlling Every Joint. In *Advances in Neural Information Processing Systems 37*. https://proceedings.neurips.cc/paper_files/paper/2024/hash/be41269a9fe258f1ecba663b0b402322-Abstract-Conference.html · https://arxiv.org/abs/2311.15864
S30	https://arxiv.org/abs/2311.15864	Wang, Z., Wang, J., Li, Y., Lin, D., & Dai, B. (2024). InterControl: Zero-shot Human Interaction Generation by Controlling Every Joint. In *Advances in Neural Information Processing Systems 37*. https://proceedings.neurips.cc/paper_files/paper/2024/hash/be41269a9fe258f1ecba663b0b402322-Abstract-Conference.html · https://arxiv.org/abs/2311.15864
S31	https://openaccess.thecvf.com/content/CVPR2024/html/Diller_CG-HOI_Contact-Guided_3D_Human-Object_Interaction_Generation_CVPR_2024_paper.html	Diller, C., & Dai, A. (2024). CG-HOI: Contact-Guided 3D Human-Object Interaction Generation. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*. https://openaccess.thecvf.com/content/CVPR2024/html/Diller_CG-HOI_Contact-Guided_3D_Human-Object_Interaction_Generation_CVPR_2024_paper.html · https://arxiv.org/abs/2311.16097
S31	https://arxiv.org/abs/2311.16097	Diller, C., & Dai, A. (2024). CG-HOI: Contact-Guided 3D Human-Object Interaction Generation. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*. https://openaccess.thecvf.com/content/CVPR2024/html/Diller_CG-HOI_Contact-Guided_3D_Human-Object_Interaction_Generation_CVPR_2024_paper.html · https://arxiv.org/abs/2311.16097
S32	https://arxiv.org/abs/2403.15709	Ma, S., Cao, Q., Zhang, J., & Tao, D. (2024). Contact-aware Human Motion Generation from Textual Descriptions. *arXiv preprint arXiv:2403.15709*. https://arxiv.org/abs/2403.15709
S33	https://arxiv.org/abs/2509.24469	Kim, H., Kim, G., & Chun, S. Y. (2025). LaMoGen: Laban Movement-Guided Diffusion for Text-to-Motion Generation. *arXiv preprint arXiv:2509.24469*. https://arxiv.org/abs/2509.24469
S34	https://arxiv.org/abs/2603.11605	Jiang, J., Au, H. Y., Xiang, J., & Chen, J. (2026). LaMoGen: Language to Motion Generation Through LLM-Guided Symbolic Inference. *arXiv preprint arXiv:2603.11605*. https://arxiv.org/abs/2603.11605
S35	https://proceedings.neurips.cc/paper_files/paper/2023/hash/3fbf0c1ea0716c03dea93bb6be78dd6f-Abstract-Conference.html	Jiang, B., Chen, X., Liu, W., Yu, J., Yu, G., & Chen, T. (2023). MotionGPT: Human Motion as a Foreign Language. In *Advances in Neural Information Processing Systems 36*. https://proceedings.neurips.cc/paper_files/paper/2023/hash/3fbf0c1ea0716c03dea93bb6be78dd6f-Abstract-Conference.html · https://arxiv.org/abs/2306.14795
S35	https://arxiv.org/abs/2306.14795	Jiang, B., Chen, X., Liu, W., Yu, J., Yu, G., & Chen, T. (2023). MotionGPT: Human Motion as a Foreign Language. In *Advances in Neural Information Processing Systems 36*. https://proceedings.neurips.cc/paper_files/paper/2023/hash/3fbf0c1ea0716c03dea93bb6be78dd6f-Abstract-Conference.html · https://arxiv.org/abs/2306.14795
S36	https://arxiv.org/abs/2405.15439	Geng, Z., Han, C., Hayder, Z., Liu, J., Shah, M., & Mian, A. (2024). Text-guided 3D Human Motion Generation with Keyframe-based Parallel Skip Transformer. *arXiv preprint arXiv:2405.15439*. https://arxiv.org/abs/2405.15439
S37	https://openaccess.thecvf.com/content/CVPR2025/html/Wang_HumanDreamer_Generating_Controllable_Human-Motion_Videos_via_Decoupled_Generation_CVPR_2025_paper.html	Wang, B., Wang, X., Ni, C., Zhao, G., Yang, Z., Zhu, Z., Zhang, M., Zhou, Y., Chen, X., Huang, G., Liu, L., & Wang, X. (2025). HumanDreamer: Generating Controllable Human-Motion Videos via Decoupled Generation. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*, 12391–12401. https://openaccess.thecvf.com/content/CVPR2025/html/Wang_HumanDreamer_Generating_Controllable_Human-Motion_Videos_via_Decoupled_Generation_CVPR_2025_paper.html · https://arxiv.org/abs/2503.24026
S37	https://arxiv.org/abs/2503.24026	Wang, B., Wang, X., Ni, C., Zhao, G., Yang, Z., Zhu, Z., Zhang, M., Zhou, Y., Chen, X., Huang, G., Liu, L., & Wang, X. (2025). HumanDreamer: Generating Controllable Human-Motion Videos via Decoupled Generation. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*, 12391–12401. https://openaccess.thecvf.com/content/CVPR2025/html/Wang_HumanDreamer_Generating_Controllable_Human-Motion_Videos_via_Decoupled_Generation_CVPR_2025_paper.html · https://arxiv.org/abs/2503.24026
S38	https://openaccess.thecvf.com/content/CVPR2025/html/Li_TokenMotion_Decoupled_Motion_Control_via_Token_Disentanglement_for_Human-centric_Video_CVPR_2025_paper.html	Li, R., Xing, D., Sun, H., Ha, Y., Shen, J., & Ho, C. (2025). TokenMotion: Decoupled Motion Control via Token Disentanglement for Human-centric Video Generation. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*, 1951–1961. https://openaccess.thecvf.com/content/CVPR2025/html/Li_TokenMotion_Decoupled_Motion_Control_via_Token_Disentanglement_for_Human-centric_Video_CVPR_2025_paper.html
S39	https://arxiv.org/abs/2404.02101	He, H., Xu, Y., Guo, Y., Wetzstein, G., Dai, B., Li, H., & Yang, C. (2024). CameraCtrl: Enabling Camera Control for Text-to-Video Generation. *arXiv preprint arXiv:2404.02101*. https://arxiv.org/abs/2404.02101
S40	https://arxiv.org/abs/2501.01425	Shuai, X., Ding, H., Qin, Z., Luo, H., Ma, X., & Tao, D. (2025). Free-Form Motion Control: Controlling the 6D Poses of Camera and Objects in Video Generation. In *IEEE/CVF International Conference on Computer Vision (ICCV)*. https://arxiv.org/abs/2501.01425
S41	https://arxiv.org/abs/2312.03641	Wang, Z., Yuan, Z., Wang, X., Chen, T., Xia, M., Luo, P., & Shan, Y. (2024). MotionCtrl: A Unified and Flexible Motion Controller for Video Generation. In *ACM SIGGRAPH 2024 Conference Papers*. https://arxiv.org/abs/2312.03641
S42	https://arxiv.org/abs/1812.01717	Unterthiner, T., van Steenkiste, S., Kurach, K., Marinier, R., Michalski, M., & Gelly, S. (2018). Towards Accurate Generative Models of Video: A New Metric & Challenges. *arXiv preprint arXiv:1812.01717*. https://arxiv.org/abs/1812.01717
S44	https://arxiv.org/abs/2407.16124	Liu, J., Qu, Y., Yan, Q., Zeng, X., Wang, L., & Liao, R. (2024). Fréchet Video Motion Distance: A Metric for Evaluating Motion Consistency in Videos. *arXiv preprint arXiv:2407.16124*. https://arxiv.org/abs/2407.16124
S45	https://arxiv.org/abs/2406.08656	Feng, W., Li, J., Saxon, M., Fu, T.-J., Chen, W., & Wang, W. Y. (2024). TC-Bench: Benchmarking Temporal Compositionality in Text-to-Video and Image-to-Video Generation. *arXiv preprint arXiv:2406.08656*. https://arxiv.org/abs/2406.08656
S48	https://arxiv.org/abs/2503.04666	Bugliarello, E., Arnab, A., Paiss, R., Kindermans, P.-J., & Schmid, C. (2025). What Are You Doing? A Closer Look at Controllable Human Video Generation. *arXiv preprint arXiv:2503.04666*. https://arxiv.org/abs/2503.04666
S49	https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_RoMo_A_Large-Scale_Richly_Organized_Dataset_and_Semantic_Taxonomy_for_CVPR_2026_paper.html	Zhang, J., Liu, J., Lee, Y.-Y., Moon, S., Zordan, V., Tevet, G., Liu, K., Gould, S., Jacob, O., Jiang, H., Kapadia, M., & Ben-Shabat, Y. (2026). RoMo: A Large-Scale, Richly Organized Dataset and Semantic Taxonomy for Human Motion Generation. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*. https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_RoMo_A_Large-Scale_Richly_Organized_Dataset_and_Semantic_Taxonomy_for_CVPR_2026_paper.html · https://arxiv.org/abs/2605.26241
S49	https://arxiv.org/abs/2605.26241	Zhang, J., Liu, J., Lee, Y.-Y., Moon, S., Zordan, V., Tevet, G., Liu, K., Gould, S., Jacob, O., Jiang, H., Kapadia, M., & Ben-Shabat, Y. (2026). RoMo: A Large-Scale, Richly Organized Dataset and Semantic Taxonomy for Human Motion Generation. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*. https://openaccess.thecvf.com/content/CVPR2026/html/Zhang_RoMo_A_Large-Scale_Richly_Organized_Dataset_and_Semantic_Taxonomy_for_CVPR_2026_paper.html · https://arxiv.org/abs/2605.26241
S50	https://openaccess.thecvf.com/content/CVPR2025/html/Liao_Shape_My_Moves_Text-Driven_Shape-Aware_Synthesis_of_Human_Motions_CVPR_2025_paper.html	Liao, T.-H., Zhou, Y., Shen, Y., Huang, C.-H. P., Mitra, S., Huang, J.-B., & Bhattacharya, U. (2025). Shape My Moves: Text-Driven Shape-Aware Synthesis of Human Motions. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*, 1917–1928. https://openaccess.thecvf.com/content/CVPR2025/html/Liao_Shape_My_Moves_Text-Driven_Shape-Aware_Synthesis_of_Human_Motions_CVPR_2025_paper.html · https://arxiv.org/abs/2504.03639
S50	https://arxiv.org/abs/2504.03639	Liao, T.-H., Zhou, Y., Shen, Y., Huang, C.-H. P., Mitra, S., Huang, J.-B., & Bhattacharya, U. (2025). Shape My Moves: Text-Driven Shape-Aware Synthesis of Human Motions. In *IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)*, 1917–1928. https://openaccess.thecvf.com/content/CVPR2025/html/Liao_Shape_My_Moves_Text-Driven_Shape-Aware_Synthesis_of_Human_Motions_CVPR_2025_paper.html · https://arxiv.org/abs/2504.03639
S51	https://www.rfc-editor.org/rfc/rfc8259	Bray, T., Ed. (2017). The JavaScript Object Notation (JSON) Data Interchange Format. *RFC 8259; STD 90*. Internet Engineering Task Force. https://www.rfc-editor.org/rfc/rfc8259
S52	https://json-schema.org/draft/2020-12/json-schema-core	Bhutton, A., Wright, H., Andrews, H., & Hutton, B. (2022). JSON Schema: A Media Type for Describing JSON Documents; JSON Schema Validation: A Vocabulary for Structural Validation of JSON. *Draft 2020-12*. https://json-schema.org/draft/2020-12/json-schema-core · https://json-schema.org/draft/2020-12/json-schema-validation
S52	https://json-schema.org/draft/2020-12/json-schema-validation	Bhutton, A., Wright, H., Andrews, H., & Hutton, B. (2022). JSON Schema: A Media Type for Describing JSON Documents; JSON Schema Validation: A Vocabulary for Structural Validation of JSON. *Draft 2020-12*. https://json-schema.org/draft/2020-12/json-schema-core · https://json-schema.org/draft/2020-12/json-schema-validation
S53	https://yaml.org/spec/1.2.2/	YAML Language Development Team. (2021). *YAML Ain’t Markup Language (YAML™), Revision 1.2.2*. https://yaml.org/spec/1.2.2/
S54	https://www.w3.org/TR/xml/	Bray, T., Paoli, J., Sperberg-McQueen, C. M., Maler, E., & Yergeau, F., Eds. (2008). *Extensible Markup Language (XML) 1.0, Fifth Edition*. W3C Recommendation. https://www.w3.org/TR/xml/
S55	https://www.w3.org/TR/xml-names/	Bray, T., Hollander, D., Layman, A., Tobin, R., & Thompson, H. S., Eds. (2009). *Namespaces in XML 1.0, Third Edition*. W3C Recommendation. https://www.w3.org/TR/xml-names/
S56	https://www.w3.org/TR/xmlschema11-1/	Gao, S., Sperberg-McQueen, C. M., & Thompson, H. S., Eds. (2012). *W3C XML Schema Definition Language (XSD) 1.1 Part 1: Structures*. W3C Recommendation. https://www.w3.org/TR/xmlschema11-1/
S57	https://www.w3.org/TR/xslt-30/	Kay, M., Ed. (2017). *XSL Transformations (XSLT) Version 3.0*. W3C Recommendation. https://www.w3.org/TR/xslt-30/
S58	https://www.rfc-editor.org/rfc/rfc6901	Bryan, P., Zyp, K., & Nottingham, M., Eds. (2013). JavaScript Object Notation (JSON) Pointer. *RFC 6901*. Internet Engineering Task Force. https://www.rfc-editor.org/rfc/rfc6901
S59	https://www.rfc-editor.org/rfc/rfc6902	Bryan, P., & Nottingham, M., Eds. (2013). JavaScript Object Notation (JSON) Patch. *RFC 6902*. Internet Engineering Task Force. https://www.rfc-editor.org/rfc/rfc6902
S60	https://www.rfc-editor.org/rfc/rfc7396	Hoffman, P., & Snell, J. (2014). JSON Merge Patch. *RFC 7396*. Internet Engineering Task Force. https://www.rfc-editor.org/rfc/rfc7396
S61	https://www.rfc-editor.org/rfc/rfc8785	Rundgren, A., Jordan, B., & Erdtman, S. (2020). JSON Canonicalization Scheme (JCS). *RFC 8785*. Internet Engineering Task Force. https://www.rfc-editor.org/rfc/rfc8785
S62	https://developers.openai.com/api/docs/guides/video-generation	OpenAI. (2026). *Video Generation with Sora*. OpenAI API documentation. Accessed July 18, 2026. The documentation marks Sora 2 and the Videos API as deprecated with shutdown scheduled for September 24, 2026. https://developers.openai.com/api/docs/guides/video-generation
S63	https://developers.openai.com/cookbook/examples/sora/sora2_prompting_guide	OpenAI. (2026). *Sora 2 Prompting Guide*. OpenAI Cookbook. Accessed July 18, 2026. https://developers.openai.com/cookbook/examples/sora/sora2_prompting_guide
S64	https://docs.cloud.google.com/vertex-ai/generative-ai/docs/video/generate-videos-from-first-and-last-frames	Google Cloud. (2026). *Generate Videos with Veo on Vertex AI Using First and Last Video Frames*. Google Cloud documentation, last updated January 2, 2026. https://docs.cloud.google.com/vertex-ai/generative-ai/docs/video/generate-videos-from-first-and-last-frames
S65	https://docs.dev.runwayml.com/guides/using-the-api/	Runway. (2026). *API Getting Started Guide*. Runway Developer Documentation. Accessed July 18, 2026. https://docs.dev.runwayml.com/guides/using-the-api/
S66	https://docs.dev.runwayml.com/api-details/api_changelog/	Runway. (2026). *API Changelog & Updates*. Runway Developer Documentation. Accessed July 18, 2026. https://docs.dev.runwayml.com/api-details/api_changelog/
S67	https://ai.google.dev/gemini-api/docs/video-understanding	Google AI for Developers. (2026). *Video Understanding: Gemini API*. Last updated July 6, 2026; accessed July 18, 2026. https://ai.google.dev/gemini-api/docs/video-understanding
S68	https://ai.google.dev/gemini-api/docs/structured-output	Google AI for Developers. (2026). *Structured Outputs: Gemini API*. Last updated July 7, 2026; accessed July 18, 2026. https://ai.google.dev/gemini-api/docs/structured-output
S69	https://docs.cloud.google.com/vertex-ai/generative-ai/docs/reference/rpc/google.cloud.aiplatform.v1	Google Cloud. (2026). *VideoMetadata: Vertex AI Generative AI RPC Reference*. Accessed July 18, 2026. https://docs.cloud.google.com/vertex-ai/generative-ai/docs/reference/rpc/google.cloud.aiplatform.v1
S70	https://ai.google.dev/gemini-api/docs/embeddings	Google AI for Developers. (2026). *Embeddings: Multimodal Embeddings with Gemini Embedding 2*. Accessed July 18, 2026. https://ai.google.dev/gemini-api/docs/embeddings
S71	https://docs.twelvelabs.io/docs/concepts/models/pegasus	Twelve Labs. (2026). *Pegasus Model Documentation*. Version 1.3 documentation; accessed July 18, 2026. https://docs.twelvelabs.io/docs/concepts/models/pegasus
S72	https://docs.twelvelabs.io/v1.3/docs/guides/segment-videos	Twelve Labs. (2026). *Segment Videos*. Version 1.3 documentation; accessed July 18, 2026. https://docs.twelvelabs.io/v1.3/docs/guides/segment-videos
S73	https://docs.twelvelabs.io/docs/concepts/models/marengo	Twelve Labs. (2026). *Marengo Model Documentation*. Version 1.3 documentation; accessed July 18, 2026. https://docs.twelvelabs.io/docs/concepts/models/marengo
S74	https://docs.twelvelabs.io/docs/get-started/release-notes	Twelve Labs. (2026). *Release Notes*. Version 1.3 documentation; accessed July 18, 2026. https://docs.twelvelabs.io/docs/get-started/release-notes
S75	https://ffmpeg.org/ffprobe.html	FFmpeg Project. (2026). *ffprobe Documentation*. Accessed July 18, 2026. https://ffmpeg.org/ffprobe.html
S76	https://www.scenedetect.com/docs/latest/	PySceneDetect Contributors. (2026). *PySceneDetect Documentation*. Version 0.7 documentation; accessed July 18, 2026. https://www.scenedetect.com/docs/latest/
S77	https://docs.cloud.google.com/video-intelligence/docs	Google Cloud. (2026). *Video Intelligence API Documentation*. Accessed July 18, 2026. https://docs.cloud.google.com/video-intelligence/docs
S78	https://doi.org/10.1109/FG.2018.00019	Baltrušaitis, T., Zadeh, A., Lim, Y. C., & Morency, L.-P. (2018). OpenFace 2.0: Facial Behavior Analysis Toolkit. In *13th IEEE International Conference on Automatic Face & Gesture Recognition (FG 2018)*, 59–66. https://doi.org/10.1109/FG.2018.00019 · https://github.com/TadasBaltrusaitis/OpenFace
S78	https://github.com/TadasBaltrusaitis/OpenFace	Baltrušaitis, T., Zadeh, A., Lim, Y. C., & Morency, L.-P. (2018). OpenFace 2.0: Facial Behavior Analysis Toolkit. In *13th IEEE International Conference on Automatic Face & Gesture Recognition (FG 2018)*, 59–66. https://doi.org/10.1109/FG.2018.00019 · https://github.com/TadasBaltrusaitis/OpenFace
S79	https://doi.org/10.1109/TPAMI.2022.3222784	Fang, H.-S., Li, J., Tang, H., Xu, C., Zhu, H., Xiu, Y., Li, Y.-L., & Lu, C. (2023). AlphaPose: Whole-Body Regional Multi-Person Pose Estimation and Tracking in Real-Time. *IEEE Transactions on Pattern Analysis and Machine Intelligence, 45*(6), 7157–7173. https://doi.org/10.1109/TPAMI.2022.3222784 · https://arxiv.org/abs/2211.03375
