id	title	url
S043	The Role of Lower Limb Kinetics in Boxing Punches and the Impact of Fatigue on Biomechanical Performance	https://www.mdpi.com/2306-5354/12/12/1355
S044	Society of American Fight Directors: Training and Safety Principles	https://www.safd.org/
S045	Artist-Directed Dynamics for 2D Animation	https://tml.stanford.edu/publications/2016/artist-directed-dynamics-2d-animation
S046	Turning to the Masters: Motion Capturing Cartoons	https://graphics.stanford.edu/projects/tooncap/
S047	Position Based Dynamics	https://diglib.eg.org/items/deb0a7a1-2ddf-496f-889a-fe0df1feeb73
S048	XPBD: Position-Based Simulation of Compliant Constrained Dynamics	https://doi.org/10.1145/2994258.2994272
S049	Interactive Spacetime Constraints: Wiggly Splines	https://graphics.pixar.com/library/WigglySplines/
S050	Virtual Tailoring for Ratatouille	https://graphics.pixar.com/library/TailoringForRatatouille/
S051	Human Motion Diffusion Model	https://arxiv.org/abs/2209.14916
S052	MotionGPT: Human Motion as a Foreign Language	https://papers.neurips.cc/paper_files/paper/2023/hash/3fbf0c1ea0716c03dea93bb6be78dd6f-Abstract-Conference.html
S053	FineMoGen: Fine-Grained Spatio-Temporal Motion Generation and Editing	https://papers.neurips.cc/paper_files/paper/2023/hash/2d52879ef2ba487445ca2e143b104c3b-Abstract-Conference.html
S054	OmniControl: Control Any Joint at Any Time for Human Motion Generation	https://arxiv.org/abs/2310.08580
S055	InterControl: Zero-shot Human Interaction Generation by Controlling Every Joint	https://arxiv.org/abs/2311.15864
S056	CG-HOI: Contact-Guided 3D Human-Object Interaction Generation	https://openaccess.thecvf.com/content/CVPR2024/html/Diller_CG-HOI_Contact-Guided_3D_Human-Object_Interaction_Generation_CVPR_2024_paper.html
S057	StickMotion: Generating 3D Human Motions by Drawing a Stickman	https://openaccess.thecvf.com/content/CVPR2025/html/Wang_StickMotion_Generating_3D_Human_Motions_by_Drawing_a_Stickman_CVPR_2025_paper.html
S058	TokenMotion: Decoupled Motion Control via Token Disentanglement for Human-centric Video Generation	https://openaccess.thecvf.com/content/CVPR2025/html/Li_TokenMotion_Decoupled_Motion_Control_via_Token_Disentanglement_for_Human-centric_Video_CVPR_2025_paper.html
S059	Wan-Move: Motion-controllable Video Generation via Latent Trajectory Guidance	https://papers.neurips.cc/paper_files/paper/2025/hash/00b67df24009747e8bbed4c2c6f9c825-Abstract-Conference.html
S060	MotionPersona: Characteristics-aware Locomotion Control	https://arxiv.org/abs/2506.00173
S061	Motion Puzzle: Arbitrary Motion Style Transfer by Body Part	https://arxiv.org/abs/2202.05274
S062	MoMask: Generative Masked Modeling of 3D Human Motions	https://openaccess.thecvf.com/content/CVPR2024/html/Guo_MoMask_Generative_Masked_Modeling_of_3D_Human_Motions_CVPR_2024_paper.html
S063	AToM: Aligning Text-to-Motion Model at Event-Level with Vision Reward	https://openaccess.thecvf.com/content/CVPR2025/html/Han_AToM_Aligning_Text-to-Motion_Model_at_Event-Level_with_GPT-4Vision_Reward_CVPR_2025_paper.html
S064	PACER+: On-Demand Pedestrian Animation Controller in Driving Scenarios	https://openaccess.thecvf.com/content/CVPR2024/html/Wang_PACER_On-Demand_Pedestrian_Animation_Controller_in_Driving_Scenarios_CVPR_2024_paper.html
S065	HumanML3D: A Large and Diverse Dataset for Text-to-Motion Generation	https://openaccess.thecvf.com/content/CVPR2022/html/Guo_Generating_Diverse_and_Natural_3D_Human_Motions_From_Texts_CVPR_2022_paper.html
S066	MotionCtrl: A Unified and Flexible Motion Controller for Video Generation	https://arxiv.org/abs/2312.03641
S067	Comparison of Various Smoothness Metrics for Upper Limb Movements	https://doi.org/10.3390/s23031158
S068	On the Analysis of Movement Smoothness	https://pmc.ncbi.nlm.nih.gov/articles/PMC4674971/
S069	Foot Skating Motion Quality Measures and Contact-Aware Evaluation	https://arxiv.org/abs/2109.10433
S070	The Illusion of Life: Disney Animation	https://books.disney.com/book/the-illusion-of-life/
S071	The Animator's Survival Kit	https://us.macmillan.com/books/9780865478978/theanimatorssurvivalkit/
S072	Acting for Animators	https://www.routledge.com/Acting-for-Animators/Hooks/p/book/9781003289753
S073	Position-Based IK and Full-Body Procedural Adjustment	https://dev.epicgames.com/documentation/en-us/unreal-engine/control-rig-full-body-ik-in-unreal-engine
S074	SimAvatar: Simulation-Ready Avatars with Layered Hair and Clothing	https://research.nvidia.com/labs/dair/simavatar/
S075	Progressive Dynamics++: Stable and Continuous Cloth and Shell Animation	https://graphics.stanford.edu/~djames/publication/progressive-dynamics-a-framework-for-stable-continuous-and-consistent-animation-across-resolution-and-time/
S076	JavaScript Object Notation (JSON)	https://www.rfc-editor.org/rfc/rfc8259
S077	JSON Schema Core and Validation, Draft 2020-12	https://json-schema.org/draft/2020-12/
S078	JavaScript Object Notation (JSON) Text Sequences	https://www.rfc-editor.org/rfc/rfc7464
S079	YAML 1.2.2 Specification	https://yaml.org/spec/1.2.2/
S080	Cartoon Capture and Retargeting as Structural Motion Transfer	https://graphics.stanford.edu/projects/tooncap/
